,TCGA-B7-5816,TCGA-BR-6452,TCGA-BR-6566,TCGA-BR-6802,TCGA-BR-6852,TCGA-BR-7703,TCGA-BR-7851,TCGA-BR-8059,TCGA-BR-8081,TCGA-BR-8360,TCGA-BR-8368,TCGA-BR-8372,TCGA-BR-8382,TCGA-BR-8591,TCGA-BR-A4QL,TCGA-CD-8536,TCGA-CG-4305,TCGA-CG-4460,TCGA-CG-4465,TCGA-D7-A4YV,TCGA-F1-6874,TCGA-FP-A4BE,TCGA-HF-7132,TCGA-HF-A5NB,TCGA-HU-A4G9,TCGA-HU-A4GQ,TCGA-HU-A4GX,TCGA-MX-A5UJ,TCGA-R5-A7ZI,TCGA-VQ-A8P2,TCGA-VQ-A8PP,TCGA-VQ-A8PX,TCGA-VQ-A91D,TCGA-VQ-A924,TCGA-VQ-AA6D,TCGA-BR-6453,TCGA-BR-6456,TCGA-BR-6457,TCGA-BR-6563,TCGA-BR-6564,TCGA-BR-6565,TCGA-BR-6706,TCGA-BR-6803,TCGA-BR-7715,TCGA-BR-7717,TCGA-BR-7901,TCGA-BR-7957,TCGA-BR-8077,TCGA-BR-8080,TCGA-BR-8291,TCGA-BR-8297,TCGA-BR-8365,TCGA-BR-8366,TCGA-BR-8371,TCGA-BR-8381,TCGA-BR-8483,TCGA-BR-8484,TCGA-BR-8486,TCGA-BR-8590,TCGA-BR-8592,TCGA-BR-8677,TCGA-BR-8678,TCGA-BR-8686,TCGA-BR-A44T,TCGA-BR-A44U,TCGA-BR-A452,TCGA-BR-A453,TCGA-BR-A4CR,TCGA-BR-A4IV,TCGA-BR-A4IY,TCGA-BR-A4IZ,TCGA-BR-A4J1,TCGA-BR-A4J2,TCGA-BR-A4J5,TCGA-BR-A4J8,TCGA-BR-A4J9,TCGA-BR-A4PD,TCGA-BR-A4PE,TCGA-BR-A4QI,TCGA-CD-5798,TCGA-CD-5800,TCGA-CD-5801,TCGA-CD-5804,TCGA-CD-8531,TCGA-CD-8532,TCGA-CD-8534,TCGA-CD-8535,TCGA-CD-A486,TCGA-CD-A487,TCGA-CD-A489,TCGA-CD-A4MH,TCGA-CG-4304,TCGA-CG-4438,TCGA-CG-4443,TCGA-CG-4462,TCGA-CG-4475,TCGA-CG-4476,TCGA-CG-4477,TCGA-D7-5577,TCGA-D7-6518,TCGA-D7-6520,TCGA-D7-6522,TCGA-D7-6524,TCGA-D7-6526,TCGA-D7-6815,TCGA-D7-6817,TCGA-D7-6818,TCGA-D7-6820,TCGA-D7-6822,TCGA-D7-8572,TCGA-D7-8574,TCGA-D7-8576,TCGA-D7-8578,TCGA-D7-A4YT,TCGA-D7-A4YU,TCGA-D7-A4YX,TCGA-D7-A6EX,TCGA-D7-A6EZ,TCGA-D7-A6F0,TCGA-D7-A6F2,TCGA-D7-A747,TCGA-D7-A74A,TCGA-F1-6875,TCGA-FP-7735,TCGA-FP-7916,TCGA-FP-7998,TCGA-FP-8099,TCGA-FP-8209,TCGA-FP-8210,TCGA-FP-8211,TCGA-FP-A4BF,TCGA-FP-A9TM,TCGA-HF-7136,TCGA-HU-8249,TCGA-HU-8608,TCGA-HU-A4G2,TCGA-HU-A4G3,TCGA-HU-A4GF,TCGA-HU-A4H5,TCGA-HU-A4H6,TCGA-IN-7806,TCGA-IN-7808,TCGA-IP-7968,TCGA-KB-A93J,TCGA-MX-A5UG,TCGA-R5-A7ZE,TCGA-R5-A7ZF,TCGA-RD-A7BS,TCGA-RD-A7BW,TCGA-RD-A7C1,TCGA-RD-A8MW,TCGA-RD-A8N0,TCGA-RD-A8N2,TCGA-RD-A8N4,TCGA-RD-A8N5,TCGA-RD-A8N9,TCGA-SW-A7EB,TCGA-VQ-A8DU,TCGA-VQ-A8DV,TCGA-VQ-A8DZ,TCGA-VQ-A8E0,TCGA-VQ-A8E2,TCGA-VQ-A8E7,TCGA-VQ-A8P3,TCGA-VQ-A8P8,TCGA-VQ-A8PH,TCGA-VQ-A8PK,TCGA-VQ-A8PM,TCGA-VQ-A8PQ,TCGA-VQ-A8PU,TCGA-VQ-A91N,TCGA-VQ-A91Q,TCGA-VQ-A91S,TCGA-VQ-A91U,TCGA-VQ-A91Y,TCGA-VQ-A928,TCGA-VQ-A94O,TCGA-VQ-A94P,TCGA-VQ-AA64,TCGA-VQ-AA6B,TCGA-VQ-AA6F,TCGA-VQ-AA6I,TCGA-VQ-AA6J,TCGA-VQ-AA6K,TCGA-ZA-A8F6
ENSG00000096088.15,0.0,5.841281042,0.641920843,7.667431106,1.515512456,0.0,0.078711258,3.972885959,0.106515792,0.0,1.604373615,0.233087337,0.068708438,1.433922114,1.449704441,0.0,5.701146329,8.965469662,3.928318929,0.0,3.275153807,0.0,9.284506257,0.882107162,3.83598129,0.230637982,5.987150662,6.096701554,6.091760792,0.660056869,4.854511222,8.724730571,1.803815958,0.831861422,1.436379468,0.161856358,7.231449135,6.986855407,8.218937075,8.630614491,1.592812756,0.0,7.009104723,5.850466506,6.048943821,6.075948741,2.374767195,3.209634944,2.602581761,5.475470465,6.163854781,3.896321601,1.572366296,2.610745616,2.648182381,3.038572372,7.084587147,5.910131622,5.949413341,4.40780951,0.775010549,0.512205379,6.347178775,0.382981899,0.513002079,0.0,0.0,2.156611666,2.810348073,0.0,0.0,0.0,0.0,1.535482401,3.621899881,1.617952574,0.0,0.0,0.0,5.405795092,4.052388608,4.52525262,7.525356919,1.153478481,2.503114817,3.861433941,0.293521752,6.270898946,0.381800683,0.016055586,2.501825221,6.43622615,0.344281221,5.70875667,4.275713148,1.737473067,7.326020652,4.557179918,0.153367079,0.0,2.488322626,2.461309154,1.53186857,3.235907047,2.925504523,0.0,0.883294996,0.0,4.383748478,1.829735325,0.682656543,4.02333111,6.929944368,0.0,0.254818662,0.116946415,0.076493839,5.748662835,3.519987632,6.103525457,0.64902316,1.410853897,0.68584909,7.108166744,3.216496238,2.188506712,0.847195767,1.035546754,3.961538466,5.081270525,0.507011145,5.798884042,0.0,2.151278851,0.879610186,3.027511126,8.449773994,2.979926882,5.675259928,7.701455919,3.049340367,0.138581478,1.645250632,3.008980753,4.3035263,2.460471026,1.66831544,6.233524554,3.789297467,6.985485518,2.329253462,9.193018889,0.170492005,2.585212404,4.118019099,4.981658827,8.75354274,8.354263754,6.250199175,3.340104587,8.004803212,2.750972894,3.727888212,7.124990498,7.148369915,3.797261674,6.502826046,5.475731883,2.54203064,8.355666367,5.481146597,4.961682366,0.179240585,5.465450057,4.868217624,8.441558947,3.914605302,2.944911841,5.786715139,0.0,3.642241542,0.0,4.110682811,3.813107349,0.169265879
ENSG00000102837.6,0.0,6.389492222,0.936592785,3.738505073,4.875419264,0.0,7.253211617,0.556660962,0.582363523,0.0,4.599958649,1.664738628,5.107144101,5.679689095,1.830135002,0.0,3.039983962,2.105766797,1.637385633,0.0,7.371571687,0.0,3.237571542,0.0,5.403312189,1.510284654,6.503138017,7.04973129,7.622574312,4.218627358,2.601405179,6.846183839,4.936626581,2.968360495,4.001278374,4.451628087,2.99843813,8.255203097,6.381202591,3.279109606,5.822927042,0.0,3.307864218,2.263697956,6.358733906,6.641887693,0.882065441,4.855802265,2.189593706,7.763671032,3.415441614,2.12988953,4.426818749,1.097833298,4.567024238,6.22261397,5.108142564,7.617107045,6.071206387,3.485624358,0.289975869,0.078766714,6.840819527,1.313746176,2.621896195,0.0,0.0,1.202014056,6.095701556,0.0,0.0,0.0,0.0,0.440255121,2.983839329,2.438212476,0.0,0.0,0.0,3.008489805,7.281252169,0.848723229,8.812630313,0.275533448,7.01617588,6.68595154,0.247938104,6.687854217,4.544080487,0.92041866,7.423718369,9.281299931,2.841842058,0.13746073,7.222773866,2.499873797,8.31290001,4.482247982,6.98884426,0.0,7.156128345,1.072340989,7.090705582,5.887585193,7.838759169,0.0,4.287895096,0.0,1.795649837,5.185834257,6.548721453,5.192759973,6.11344489,0.0,0.094564729,2.279908471,0.0,0.631937007,4.694629683,5.26540413,3.077278046,5.157392703,0.039155683,8.269819091,5.527778677,6.395948353,7.498236947,2.540058461,5.114624929,7.828348338,1.030684577,3.50780932,0.0,1.928315505,4.528724686,6.845752068,5.901451112,7.004833894,0.055373658,6.993764373,6.786802078,0.335249377,1.158638299,2.329732597,5.267696854,3.112839291,0.388278404,3.890912047,3.222602385,5.233280708,7.021466536,0.962364666,2.037772105,1.740278539,3.846572337,6.519504828,5.41563666,0.446196892,0.700484847,7.445405043,6.43985171,0.515655838,9.117844991,0.234504478,7.054483663,5.005218052,9.243370195,4.144997425,2.630678763,8.59454097,5.810451169,5.536368245,5.06641158,2.109978249,6.389319018,8.706815229,6.147304688,4.218247821,2.392810236,0.0,6.515702739,0.0,7.743008149,2.218855301,7.581283417
ENSG00000115386.5,0.0,2.970065709,4.446778051,5.085046476,4.309866464,0.0,1.862463281,0.449661629,4.796093493,0.0,1.412980961,0.232635244,1.04269467,3.514093901,4.592163505,0.0,3.013936815,4.921918318,4.921141485,0.0,0.429713829,0.0,7.635701838,4.967453301,6.668276281,0.034210031,3.221126616,5.778638513,6.583388357,4.839894407,4.9712569,7.134093625,0.766576896,0.242700004,0.063773479,4.000696443,4.477560831,7.410111972,6.268812962,6.168723693,1.565301023,0.0,4.922091268,3.74869453,2.884925408,6.198726889,3.265912024,2.983706201,7.739455895,6.317845282,5.331008781,0.854266857,1.677361505,0.949622922,3.697223191,1.339568872,6.471462475,6.383068664,4.60604794,5.764843739,0.030080786,1.145952118,3.678899006,0.495096844,5.355981172,0.0,0.0,0.755871265,0.133376029,0.0,0.0,0.0,0.0,2.492305132,3.258244483,2.763231508,0.0,0.0,0.0,4.578552277,8.141492267,4.02259678,5.291420952,1.600422142,1.660269778,6.918852062,1.128320271,3.840932295,5.728184403,0.055434655,8.474710891,4.410683222,1.256534288,0.568711531,2.996688953,2.64446717,6.126607809,1.905454937,0.750864787,0.0,0.688874195,4.455303639,0.287893402,0.812738342,3.800240454,0.0,6.279614016,0.0,5.558711139,1.073791373,8.470875787,1.382945191,4.694737849,0.0,2.357297644,0.123165181,0.680408612,0.976817395,0.019819069,7.419287112,2.696550271,3.519380097,0.204032828,4.128842109,6.466903554,1.366422218,0.167026599,0.12178317,4.333073232,3.33708163,0.681592852,4.463273699,0.0,5.961659786,0.544726699,6.059030657,6.913703167,6.811657155,0.211766425,6.765918968,4.540586493,0.819749221,0.064832645,3.132644702,4.926074815,3.900774539,1.432017473,4.908293055,2.185915661,3.561604436,0.067018481,6.294391187,0.091681131,0.080135758,9.231531522,3.166106835,6.188025403,5.443710223,4.567165045,3.043809985,1.292352803,3.321405611,7.479210832,8.592420435,5.257454336,9.980261642,4.515883902,3.169097053,1.008176049,6.15837714,6.880504521,6.490925781,5.762741826,2.96477206,3.362464495,5.684485052,7.830034125,1.51844337,2.401743596,0.0,1.763939942,0.0,2.433783859,0.221396101,7.144624703
ENSG00000175084.10,0.0,2.524252711,3.171763999,4.637492707,2.892997665,0.0,5.838298357,6.53097547,2.962366348,0.0,1.744397421,4.988209203,3.966846985,5.293678933,3.366198858,0.0,3.210094366,3.536593768,0.947640392,0.0,1.100061798,0.0,4.300581664,1.241291931,1.047374918,6.771418881,3.842110159,6.360297584,0.039948868,0.419951593,2.235982324,0.581356422,0.410032778,5.432160031,2.17523348,3.26997103,6.239257141,7.766300391,5.658057709,8.836498299,6.524741013,0.0,8.55193602,4.498508512,5.084393085,5.573053515,6.533094749,1.90431586,6.711716445,2.882679434,8.36254453,7.880391551,5.138656405,8.001015065,3.2609244,4.006762464,2.4110143,3.387422396,6.246641275,8.132988757,4.443379707,2.390479274,5.469159316,7.807534517,2.771143108,0.0,0.0,1.177088159,8.609384136,0.0,0.0,0.0,0.0,7.651905262,6.09602134,8.729470081,0.0,0.0,0.0,8.398413119,3.813077298,2.753118733,6.754522516,3.093084119,4.331874135,5.769114742,0.260195974,0.604468897,6.588517433,7.821421466,2.762690545,0.986513116,4.94777681,0.187518059,1.062806924,4.875246473,4.607800337,3.277639164,3.252712879,0.0,5.941325759,1.720792642,4.892263185,5.021349234,1.978972607,0.0,4.781268911,0.0,1.988949833,5.345417113,2.574282435,2.918817594,5.184686717,0.0,6.567540092,0.124465504,6.986687782,1.746155152,1.580698107,3.871701876,8.624039774,2.827272879,0.206103039,4.374211528,5.452566699,6.260216459,0.994821256,8.171383907,7.114804701,1.947141881,0.329337918,3.324249927,0.0,0.924353628,1.000035784,2.273550384,3.530146934,0.379328691,0.776428435,4.046550791,5.89683098,1.604825615,1.953555803,0.647447623,4.990341247,0.60322837,0.859113118,3.909739286,7.583684905,1.347585092,5.519493159,4.404007623,8.827441524,8.672834991,1.87270756,5.036026676,2.738019761,3.258784533,1.625837599,3.748812195,2.099556631,4.457857129,2.360302819,3.426891695,5.099051749,1.964819969,1.135457425,4.234076689,1.465973502,1.990865555,2.669291243,0.475914148,2.526402643,2.229409492,7.890102253,4.030638879,2.358063215,8.619087468,3.721790029,0.0,2.994769423,0.0,2.213293337,3.552915734,7.644110204
ENSG00000160181.7,0.0,5.885220999,1.600751235,4.903480401,1.301179931,0.0,0.110241734,3.913657487,0.291728712,0.0,3.408377231,0.918280342,3.884294855,4.752534997,0.192918937,0.0,4.172486685,6.727383903,2.900801346,0.0,1.905534623,0.0,7.201716009,6.790913611,5.281982605,0.785468102,6.838885676,5.740347179,3.643526726,1.524653341,2.446566662,6.435114433,5.42967608,1.204602845,0.110921864,0.183749775,3.737795562,1.871160433,6.783254169,3.580188175,0.018639967,0.0,4.830993767,0.042582877,6.090649483,7.011725846,1.523654598,0.041135811,6.353622816,4.259455568,5.316074162,4.37340135,2.504088158,1.583443567,1.535378318,1.079090754,5.433409929,3.346070632,4.806199438,2.548982856,0.700854043,0.386029129,2.246443763,0.239140213,0.357173268,0.0,0.0,0.3106043,0.16374995,0.0,0.0,0.0,0.0,4.458378909,0.56542496,0.996680486,0.0,0.0,0.0,4.544340325,3.485972015,2.361020028,4.570908398,1.65299452,2.066017316,4.301084325,0.895357527,5.038681203,4.147254477,0.625261254,0.699107809,2.712093098,3.513795732,1.007563079,2.043442751,3.132021455,6.893421935,4.614413923,4.059043251,0.0,3.091009942,1.684437631,1.182237405,2.165700673,0.710208582,0.0,0.754514351,0.0,4.227875874,1.241187056,1.044134587,6.242358356,5.839203688,0.0,1.660938337,0.029818433,1.894030051,0.359272116,0.117608228,2.314537536,0.516828772,6.297779008,0.034251272,1.81497014,2.013557656,2.100143997,2.148568618,1.256232858,5.007206848,5.654890311,4.432429745,6.246739144,0.0,0.567064302,2.115095304,5.632328624,7.871372069,1.073908812,1.541115249,6.88532273,0.617310065,1.263724462,2.689597374,6.700997817,2.974418776,0.50624778,2.401087005,7.00009078,2.079003325,4.096443307,0.824404585,7.309774539,1.893385715,0.329415353,4.668725411,3.896547493,7.850242996,7.265900886,2.807451205,6.942061158,2.379341155,0.63508657,3.342078709,1.849048403,6.161770798,4.669287897,5.255900011,5.61635437,2.157228142,7.710545421,5.126150649,4.26466462,0.901560599,5.839491782,3.566399882,0.395046523,1.451920053,1.765332258,3.25542561,0.0,2.464494036,0.0,3.275110684,2.162450265,1.173065828
ENSG00000169605.5,0.0,4.054127698,0.304221512,5.823267081,1.075460308,0.0,0.0,1.038401434,0.034359264,0.0,0.011128099,0.056216802,0.0,0.208901689,0.010195089,0.0,5.810636604,7.394403936,1.623302643,0.0,0.744039374,0.0,7.648089119,0.024093739,2.027393167,0.025788753,7.4860889,2.631274633,0.0,0.130937766,0.088343643,1.423241578,0.774028973,2.020483533,0.014024392,0.053201507,1.695106869,0.59597807,2.794133901,2.068508509,0.0,0.0,4.338418996,0.015590242,0.65992008,0.0,0.307540986,0.044497358,0.238064825,0.104807984,2.957889883,5.212098038,0.082314019,0.049381096,0.305941932,0.021032406,1.26153241,3.815764802,4.543844275,3.286302247,0.02266448,0.0,2.272813404,0.0,0.0,0.0,0.0,0.038240427,0.150827711,0.0,0.0,0.0,0.0,0.0,0.0,0.141334815,0.0,0.0,0.0,1.81168015,1.078391291,2.135092374,0.0,1.045111528,0.832967193,0.13836878,0.011952879,0.0,0.070303216,0.0,0.02010227,0.0,0.225272593,0.0,0.37801395,0.745879965,9.234715433,3.822802897,1.529316992,0.0,0.026703941,1.40820957,0.091121025,1.861766508,1.180128711,0.0,0.658646236,0.0,4.325256706,1.633993321,1.67184175,2.747019042,6.901342271,0.0,0.0,0.010872786,0.060406289,0.995276586,0.029608595,3.181540091,0.558253919,1.271036956,0.049115064,1.657727682,2.138688131,0.0,0.09068793,0.902081143,6.805079252,4.896251499,0.035721559,3.402158657,0.0,0.309126455,1.303613708,5.242243032,6.132297019,1.155010011,0.046741308,7.988524222,0.012022619,0.0,0.0,1.330479374,3.142312095,0.0,0.742184753,4.968491086,3.341700603,0.576449892,0.119726513,7.764113748,0.025871211,0.060747031,1.037900508,1.110660708,8.996785227,4.819779074,0.0,0.147196577,0.067914733,0.717206689,1.374477076,0.262753837,4.525564722,4.933737831,5.500996263,4.544962231,0.226018353,1.020770307,5.266083668,0.849149326,0.4491718,6.966991393,2.695543119,0.050183196,0.025776361,2.168748897,2.833688246,0.0,2.723497885,0.0,4.55903646,1.854534394,0.271588289
ENSG00000182333.13,0.0,6.364110459,0.926571863,7.011832905,0.309580797,0.0,0.0,0.038360746,0.022551771,0.0,0.118624874,0.011255536,0.0,0.010769259,0.0,0.0,2.913149032,7.416292446,4.638075418,0.0,2.153786661,0.0,5.263416849,0.0157861,1.324454349,0.0,5.282738232,4.490723197,0.014156368,0.406818753,1.457178093,0.786855547,0.02192082,0.576441285,0.020521652,0.02638803,6.852172068,2.60930432,1.3452703,6.28406482,0.0,0.0,6.112200754,0.007659497,4.162724026,4.840641013,2.146708995,0.18265455,0.223074926,0.046227982,1.755082963,3.307789807,0.788260588,0.042436566,0.500200542,0.079928943,3.482892836,4.179911973,5.149627756,1.382387064,0.075592458,0.011825514,5.935465469,0.0,0.0,0.0,0.0,0.6375169,0.020747692,0.0,0.0,0.0,0.0,0.303387538,0.029967951,0.085394346,0.0,0.0,0.0,0.094747949,0.228555032,0.316560118,0.132485459,0.18702275,1.582732611,1.1667667,0.028996847,0.0,0.109602111,0.01386215,0.085654392,3.449576838,0.01635117,0.017167131,0.820452486,1.676077283,8.194014849,6.343111916,0.305554938,0.0,0.006600015,0.642077798,0.506471612,1.648854013,0.0,0.0,0.116085057,0.0,0.447225297,0.251225048,1.275304074,0.124697296,3.413518592,0.0,0.016549157,0.0,0.00758889,0.01747828,0.004889917,6.218454086,0.225764184,0.0,0.244622607,0.375490935,1.488129319,0.121456192,0.01154631,0.226117711,0.064130961,4.820862516,0.153664656,6.170315601,0.0,0.102464234,0.053799264,0.385870737,5.997056317,0.581130674,0.27290387,2.330792421,0.068616793,0.007096721,0.033865886,3.693259517,1.376051321,0.006276764,2.076641814,6.838862122,3.143569336,0.848197902,0.0,6.816363219,0.0,0.00509503,1.850117438,1.107613918,6.336310609,5.886994042,0.028162189,0.005160155,3.94780934,0.577277279,1.667405818,0.061975594,1.235939219,0.050805887,5.187001262,4.484928741,4.153545341,0.719324753,2.048512376,0.628313791,0.01401003,4.655105041,0.005092527,0.175127096,0.037616651,0.0,4.07444588,0.0,1.851901232,0.0,3.123077736,0.08981174,0.0
ENSG00000188257.9,0.0,3.032452479,6.755909793,4.094274409,6.292848846,0.0,2.595286399,1.270091195,6.413218265,0.0,5.129918517,2.996047726,6.933191982,4.15508705,4.324338816,0.0,3.76398025,2.111437776,7.879247137,0.0,2.69256824,0.0,4.163761661,0.910484312,1.056382848,3.834781052,3.033259602,5.498380977,0.442291994,5.610923622,0.772502176,0.727564177,2.139158577,5.889574697,3.611155518,5.169494455,3.464861237,4.959207412,3.827918795,5.849625597,7.159414945,0.0,3.071587212,6.574661267,3.76833734,1.842003201,4.231349005,8.247425882,6.262864415,5.159320862,2.874717888,1.898894548,3.129199935,3.028525418,3.876907707,0.942090031,2.058595135,6.318542914,3.317152113,4.781815003,5.526542668,0.926250257,2.977094522,1.835127879,6.031144496,0.0,0.0,1.689931518,5.614763466,0.0,0.0,0.0,0.0,4.480435015,3.748536595,3.168892753,0.0,0.0,0.0,1.479989107,5.586113911,2.981930313,3.429115629,0.595258963,1.594823733,1.556911408,1.101572291,3.828413833,2.010744126,2.758302765,3.339122679,3.701700017,5.432462988,0.409919827,2.566570068,0.844397375,4.478067659,5.187853951,4.802187718,0.0,0.340751267,6.469572475,1.400579216,7.122453562,1.67102787,0.0,3.019110017,0.0,3.822606643,2.141060438,4.098421095,0.314899371,2.035497835,0.0,1.823434775,6.739418217,2.529661941,9.6632107,5.861143404,5.689242076,3.464502758,3.382180176,0.229091543,4.902426991,2.21159574,4.735687885,0.745983988,3.286449549,4.417750347,4.195467453,5.253138885,3.404698008,0.0,0.930486323,7.275437883,3.824450022,6.666056866,5.20618404,4.579970337,5.081569779,0.779058851,2.97238718,5.314092658,0.31811309,4.82409887,1.948615773,7.234206824,5.042025934,3.955228831,4.000241907,1.317996629,2.374452475,0.73296403,2.382303169,5.324235352,6.128818949,5.077665172,3.636088948,6.940345313,1.421462115,1.41956584,2.268073209,3.870639642,8.061367204,2.915656703,4.643271126,0.189777686,0.046121232,1.108573401,2.514469353,6.336663704,3.816799433,7.356191864,6.371768184,1.836057791,6.101029019,5.289563145,3.499597832,2.908517663,0.0,1.323568029,0.0,0.401044779,2.487559793,5.839092725
ENSG00000172016.14,0.0,0.571557159,1.834335249,3.316823006,0.82819876,0.0,0.356106553,0.262125227,1.328154871,0.0,0.093005294,0.080608042,0.0,0.141993639,4.997621949,0.0,3.113739451,3.45075729,4.311347325,0.0,0.187162684,0.0,5.858595182,1.62588531,3.591836025,0.0,0.216145746,1.243704382,2.461422828,1.082438443,1.499118839,8.335963447,0.0,0.0,0.06930026,3.076850058,4.514594109,2.635352524,6.167998827,4.589686899,0.146555925,0.0,4.586822755,2.367542766,1.618943539,5.73204602,0.145669791,3.770111356,4.354776297,3.509517035,0.624301515,0.206635382,1.260323662,0.009143657,0.523338106,1.333006113,6.303178818,3.69652033,2.175780713,2.756762029,0.0,0.108575255,3.585940063,0.068428802,1.716668671,0.0,0.0,0.061716892,0.012361552,0.0,0.0,0.0,0.0,0.759760435,1.04469181,0.149808042,0.0,0.0,0.0,3.248596361,5.68873839,0.104785875,3.035278737,0.075774994,0.436535609,0.915569062,0.225627736,4.902648304,3.400642109,0.0,5.662363727,3.007125359,0.104392258,0.074225267,0.523375334,0.089965785,4.849148919,0.191434335,0.01316507,0.0,0.0,3.768355475,0.017163361,0.404461812,2.171782368,0.0,6.636552839,0.0,0.91789989,2.193218653,2.984482713,0.041931299,2.771201456,0.0,0.101883124,0.098173426,0.02234667,1.097386133,0.0,4.633624762,1.35589039,3.091332652,0.095749758,1.074618006,1.145128015,0.212814119,0.058541515,0.0,3.491627597,0.671664751,0.026054308,2.243466559,0.0,2.659893993,0.648186534,2.195265633,3.866428819,7.735621045,0.092806576,5.268896419,2.550749735,0.071339747,0.083961074,0.076713697,3.551579703,4.072573436,0.145213613,1.048284066,0.720658209,0.631459916,0.0,4.701523208,0.0,0.051677192,7.660227054,1.139750595,4.036806363,4.562876192,4.021139069,1.137166784,1.960985497,1.116846776,4.635586389,2.308236175,4.656881845,7.393271825,1.952281085,6.976845165,0.22801105,4.058608749,4.138571606,4.799043415,0.14276865,0.535257024,0.894619962,1.079232892,5.512627796,0.336889749,0.226608343,0.0,0.938625245,0.0,1.341804845,0.0,0.953549002
ENSG00000160182.2,0.0,7.637919354,7.55183588,5.900583858,4.845326147,0.0,2.92080526,6.06300426,3.081874457,0.0,5.546654522,5.711651597,5.025716953,6.2088214,3.080543743,0.0,5.72437467,6.755702964,6.376008609,0.0,6.406546703,0.0,8.042630774,7.991863936,8.032053537,2.697129507,7.903139746,6.863179446,6.65584773,2.917965749,1.965614473,6.336407681,6.959206917,2.926816606,3.633454367,2.709067223,3.929534665,3.976820154,5.713357846,4.492500535,3.175066699,0.0,6.792107935,2.613542881,6.706728662,7.103523513,2.807903738,3.266063904,6.577725091,5.381707955,6.487449495,5.324020405,5.176427985,3.236203373,2.826873525,4.900589337,5.292025144,4.952625641,5.723416351,4.84114929,0.646179147,0.163326438,3.058897315,1.129106178,2.358644919,0.0,0.0,2.847063486,3.895652879,0.0,0.0,0.0,0.0,6.877776095,3.924527847,2.484533565,0.0,0.0,0.0,5.919261795,5.743521678,7.029352596,7.224790891,2.602339447,6.004868785,2.919201063,1.35028826,4.643629641,2.558973227,0.969176989,4.306352199,5.345203787,5.678603055,1.190092025,5.254953882,6.287571713,7.817719051,6.486952705,7.985254135,0.0,2.021092262,4.004699576,6.54556375,6.006728611,2.865968795,0.0,3.515851629,0.0,4.941991985,4.623784222,2.641923401,8.04249562,6.548781122,0.0,1.358856808,0.802460206,3.099984553,0.706484806,3.060842806,3.104215548,1.385817393,8.470470907,0.075786609,3.422625803,5.480690663,2.768641543,4.333321103,1.061983929,6.20261744,6.731359862,5.012781222,6.505355286,0.0,2.691976928,2.990808964,8.390354237,8.255632551,2.447058572,3.501651541,8.287192283,2.590286757,1.964384598,4.296308444,7.544672543,4.936600227,4.050977899,3.180089612,7.957676047,2.497832154,5.027047764,5.967049016,7.948721864,2.767595587,5.463451512,6.701399762,4.248766713,8.280451387,6.394821904,4.626590142,6.922932843,6.562154603,2.833958153,4.961208625,5.643679754,7.351210368,6.15358055,5.960012912,7.057623339,4.381482671,8.186620043,6.798194637,4.671812925,3.019421195,6.366999336,5.015038674,2.018215874,3.669983331,3.324094907,5.220786514,0.0,6.815356236,0.0,4.653616855,6.190621918,2.023047653
